,slidename,scanname,roilabel,segmentlabel,sample_id,aoisurfacearea,aoinucleicount,roicoordinatex,roicoordinatey,rawreads,trimmedreads,stitchedreads,alignedreads,deduplicatedreads,sequencingsaturation,umiq30,rtsq30,disease_status,pathology,region,loq,normalizationfactor,roireportx,roireporty,idx,region_exact,ct_deconv_b cell,ct_deconv_cd8 t cell,ct_deconv_dc,ct_deconv_distal_tubules_and_collecting_duct,ct_deconv_endothelium,ct_deconv_loop_of_henle,ct_deconv_mnp,ct_deconv_mast cell,ct_deconv_mesangial_cells,ct_deconv_nk cell,ct_deconv_nkt cell,ct_deconv_nephron_epithelium,ct_deconv_neutrophil,ct_deconv_podocytes,ct_deconv_private,ct_deconv_proximal_tubular_cells,ct_deconv_th cell,x_2d_umap,y_2d_umap,x_3d_umap,y_3d_umap,z_3d_umap,barcode,image_file_name
disease3_scan | 006 | PanCK,disease3,disease3_scan,6,PanCK,DSP-1001250007864-D-H11,25414.44769,211,27423,-57217,2213184,2191539,2172585,2081611,277454,87.46358188,0.9937,0.9929,DKD,nan,tubule,11.97267199,1.013941733,5192,-13090,disease3_scan | 006 | PanCK,distal tubule,0.37657901299999996,0.0,0.09038498699999999,4.622448371,1.7496537989999998,16.71458348,0.734426752,0.091985235,4.488193269,1.697269141,0.0,2.386433944,0.164691585,0.0,0.0,2.354180256,0.0,-0.43072137,3.106382,6.421462,6.989945,1.1460317,disease3_scan | 006 | PanCK,disease3_scan - 006 - PanCK
disease3_scan | 006 | neg,disease3,disease3_scan,6,neg,DSP-1001250007864-D-H12,102140.6459,612,27423,-57217,3337838,3309630,3282938,3093639,404631,87.87745241,0.9940000000000001,0.9933,DKD,nan,tubule,19.1291427,0.689480379,5192,-13090,disease3_scan | 006 | neg,proximal tubule,0.39544398,0.0,0.227266148,0.067709644,2.152468001,9.91260507,0.53564044,0.053660005,3.319320142,0.8983192609999999,0.0,0.803304338,0.0,0.0,0.0,5.376617086,0.0,-0.70646995,3.899103,6.3541474,6.428772,0.45498765,disease3_scan | 006 | neg,disease3_scan - 006 - neg
disease3_scan | 007 | Geometric Segment,disease3,disease3_scan,7,Geometric Segment,DSP-1001250007851-H-A02,31797.59253,202,11444,-18819,5521543,5471679,5426943,5182304,519757,90.5867436,0.9939,0.9932,DKD,abnormal,glomerulus,24.24652424,0.5560325629999999,1197,-3538,disease3_scan | 007 | Geometric Segment,glomerulus,0.135515222,0.0,0.17537001300000002,0.043389302000000005,9.364507828,3.4370104439999998,1.023351774,0.01936343,6.994867121,1.020357317,0.0,1.2177090959999999,0.0,1.687067015,0.0,0.0,0.0,-12.258279,11.756247,-0.80002373,1.1715722,8.753435,disease3_scan | 007 | Geometric Segment,disease3_scan - 007
disease3_scan | 008 | Geometric Segment,disease3,disease3_scan,8,Geometric Segment,DSP-1001250007851-H-A03,16920.10267,102,13064,-20021,3688649,3661664,3634011,3470622,342783,90.70708544,0.9948,0.9942,DKD,abnormal,glomerulus,19.33864297,0.820809975,1606,-3834,disease3_scan | 008 | Geometric Segment,glomerulus,0.372140155,0.0,0.096706634,0.0,7.070046498,2.550982827,1.710345188,0.006733918,6.712015152,1.2635006850000001,0.0,1.663471125,0.165869037,4.02839539,0.0,0.0,0.0,-10.475239,10.275832,-1.6388522,0.41121447,10.460149,disease3_scan | 008 | Geometric Segment,disease3_scan - 008
disease3_scan | 009 | Geometric Segment,disease3,disease3_scan,9,Geometric Segment,DSP-1001250007851-H-A04,14312.32987,98,14221,-18591,2470587,2452568,2432975,2325816,299883,87.8618725,0.9949,0.9943,DKD,abnormal,glomerulus,17.01753289,0.9576116370000001,1892,-3474,disease3_scan | 009 | Geometric Segment,glomerulus,0.38601792100000004,0.0,0.14983923300000002,0.0,10.550780079,2.499945547,1.6585202030000001,0.013083441999999999,7.229614275,1.023429259,0.0,1.9883430780000002,0.216795808,3.155019893,0.0,0.0,0.0,-9.689978,10.107175,-2.060957,0.8245174,10.924274,disease3_scan | 009 | Geometric Segment,disease3_scan - 009
disease3_scan | 010 | Geometric Segment,disease3,disease3_scan,10,Geometric Segment,DSP-1001250007851-H-A05,20032.83995,143,12120,-17683,3703066,3654886,3618022,3459194,392537,89.39967584,0.9925,0.9909,DKD,abnormal,glomerulus,22.33501177,0.718208728,1366,-3245,disease3_scan | 010 | Geometric Segment,glomerulus,0.430380608,0.0,0.217532387,0.0,9.825347391000001,3.5929162569999997,1.5405665320000002,0.007173367,6.929793042999999,1.0703427779999999,0.0,1.366730042,0.16073818,3.06097219,0.0,0.0,0.0,-10.204253,10.625536,-1.3084933,0.78936297,10.654537,disease3_scan | 010 | Geometric Segment,disease3_scan - 010
disease3_scan | 011 | Geometric Segment,disease3,disease3_scan,11,Geometric Segment,DSP-1001250007851-H-A06,27583.26127,195,12816,-16378,5916477,5856159,5802764,5548026,594119,89.95823021,0.9934,0.9923,DKD,abnormal,glomerulus,24.703837600000004,0.492485985,1542,-2925,disease3_scan | 011 | Geometric Segment,glomerulus,0.291573611,0.0,0.12253895599999999,0.0,10.906756689000002,3.466427345,1.9828746179999999,0.020733427,6.372360327999999,1.115738243,0.0,1.8016080010000002,0.0,2.3417108140000003,0.0,0.0,0.0,-11.68708,11.279985,-0.8108705,0.74159706,9.26688,disease3_scan | 011 | Geometric Segment,disease3_scan - 011
disease3_scan | 012 | Geometric Segment,disease3,disease3_scan,12,Geometric Segment,DSP-1001250007851-H-A07,18164.84254,97,13075,-14941,2723251,2701322,2681044,2561699,257262,90.55312933,0.9944,0.9937,DKD,abnormal,glomerulus,16.31377625,1.077313092,1607,-2565,disease3_scan | 012 | Geometric Segment,glomerulus,0.44976410899999997,0.0,0.10975339699999999,0.0,6.563444743,3.522085825,0.8034688100000001,0.010600094,9.374576657,1.026782899,0.0,1.8985456299999999,0.0,2.148198109,0.0,0.0,0.0,-9.974523,11.178908,-1.2120727,1.4667182,10.4883795,disease3_scan | 012 | Geometric Segment,disease3_scan - 012
disease3_scan | 013 | Geometric Segment,disease3,disease3_scan,13,Geometric Segment,DSP-1001250007851-H-A08,25827.58578,183,13207,-13878,6274410,6227843,6175954,5907459,536785,91.44485298,0.995,0.9943,DKD,abnormal,glomerulus,23.51923359,0.538656546,1640,-2301,disease3_scan | 013 | Geometric Segment,glomerulus,0.410216755,0.0,0.12908809400000001,0.0,10.476224348999999,3.268164723,1.719939348,0.005368861999999999,6.794602886,1.082664818,0.0,1.7488902039999998,0.12395069,2.2852666740000003,0.0,0.038888149,0.0,-12.148298,11.68402,-0.6441731,0.9719986,8.844951,disease3_scan | 013 | Geometric Segment,disease3_scan - 013
disease3_scan | 014 | Geometric Segment,disease3,disease3_scan,14,Geometric Segment,DSP-1001250007851-H-A09,12021.51145,86,15449,-18484,2873507,2850166,2827703,2701890,281428,90.20611399,0.9944,0.9936,DKD,abnormal,glomerulus,15.17743038,1.013941733,2200,-3451,disease3_scan | 014 | Geometric Segment,glomerulus,0.392818402,0.0,0.068334983,0.0,7.786684162,3.43219903,1.2681532430000002,0.012900964,7.0912343710000005,0.7688250190000001,0.0,1.4159590970000002,0.211451903,5.512347479,0.0,0.0,0.0,-8.561211,9.386131,-2.6180062,1.1202948,11.996039,disease3_scan | 014 | Geometric Segment,disease3_scan - 014
disease3_scan | 015 | Geometric Segment,disease3,disease3_scan,15,Geometric Segment,DSP-1001250007851-H-A10,22156.9507,147,17046,-20601,4311045,4274528,4240919,4047813,411528,90.45410104,0.9941,0.9933,DKD,abnormal,glomerulus,20.56740657,0.689480379,2598,-3976,disease3_scan | 015 | Geometric Segment,glomerulus,0.41815362899999997,0.0,0.080479102,0.0,7.952623174000001,2.079357543,1.204740703,0.003267667,7.140190595,0.718436655,0.0,1.916272429,0.188074308,4.454234424,0.007157259,0.0,0.0,-10.007277,9.851923,-1.8370363,0.5295741,11.038033,disease3_scan | 015 | Geometric Segment,disease3_scan - 015
disease3_scan | 016 | Geometric Segment,disease3,disease3_scan,16,Geometric Segment,DSP-1001250007851-H-A11,26042.70807,195,17029,-22040,4771232,4723805,4681130,4464995,512650,89.25539567,0.9937,0.9929,DKD,abnormal,glomerulus,25.12354217,0.5560325629999999,2596,-4337,disease3_scan | 016 | Geometric Segment,glomerulus,0.289183103,0.0,0.15886668199999998,0.0,9.208075686,2.269846572,1.7908340649999999,0.000307577,6.214886314,1.051865646,0.0,1.8206183759999999,0.0,1.6552335459999998,0.0,0.052576278,0.0,-12.108437,12.02654,-1.0373595,1.1790738,8.446487,disease3_scan | 016 | Geometric Segment,disease3_scan - 016
disease3_scan | 017 | Geometric Segment,disease3,disease3_scan,17,Geometric Segment,DSP-1001250007851-H-A12,14519.38306,82,12753,-23855,2891046,2864976,2843198,2718347,281743,90.25463448,0.9939,0.9932,DKD,abnormal,glomerulus,16.11728525,1.013941733,1523,-4795,disease3_scan | 017 | Geometric Segment,glomerulus,0.373532291,0.0,0.095222129,0.0,8.596133435,2.365447306,2.132399917,0.023493595,6.977435891,1.112183921,0.0,1.056742005,0.0,3.0305380110000004,0.0,0.0,0.0,-10.904389,10.477192,-1.3512928,0.20241417,9.981712,disease3_scan | 017 | Geometric Segment,disease3_scan - 017
disease3_scan | 018 | Geometric Segment,disease3,disease3_scan,18,Geometric Segment,DSP-1001250007851-H-B01,24344.16183,164,17524,-30115,4452245,4417956,4383805,4176468,305363,93.14137025,0.9945,0.9937,DKD,abnormal,glomerulus,18.23379485,0.907211025,2716,-6353,disease3_scan | 018 | Geometric Segment,glomerulus,0.249230703,0.0,0.112984559,0.0,7.800771709999999,3.0170303080000003,1.073490782,0.001978775,4.894805012,0.994103636,0.0,2.046402083,0.549151272,1.3826796319999999,0.0,0.166637017,0.0,-11.972182,11.859749,-0.8998365,1.5339513,8.812997,disease3_scan | 018 | Geometric Segment,disease3_scan - 018
disease3_scan | 019 | Geometric Segment,disease3,disease3_scan,19,Geometric Segment,DSP-1001250007851-H-B02,19077.45812,141,18095,-31530,3653435,3621399,3591115,3431728,281849,92.2853698,0.9942,0.9935,DKD,abnormal,glomerulus,15.28009236,1.013941733,2861,-6712,disease3_scan | 019 | Geometric Segment,glomerulus,0.304500926,0.0,0.236770691,0.0,8.18388295,3.598398377,2.0347954870000002,0.0202179,5.343370632,1.097490726,0.0,1.663998065,0.0,2.409470803,0.0,0.0,0.0,-10.855444,11.423889,-0.5779014,0.85080093,10.125495,disease3_scan | 019 | Geometric Segment,disease3_scan - 019
disease3_scan | 020 | Geometric Segment,disease3,disease3_scan,20,Geometric Segment,DSP-1001250007851-H-B03,21760.91911,156,20972,-31310,3197194,3175551,3151313,3006682,257942,91.93223808,0.9948,0.9942,DKD,abnormal,glomerulus,16.33310735,1.077313092,3580,-6654,disease3_scan | 020 | Geometric Segment,glomerulus,0.562064696,0.0,0.10535294,0.016172636,8.442482835,1.895943614,1.013662485,0.00905363,5.326884532,1.31970141,0.0,2.173550741,0.543622363,2.7039950860000004,0.0,0.0,0.0,-10.061062,11.976407,-0.5953975,1.3175609,10.757705,disease3_scan | 020 | Geometric Segment,disease3_scan - 020
disease3_scan | 021 | Geometric Segment,disease3,disease3_scan,21,Geometric Segment,DSP-1001250007851-H-B04,20961.10959,147,22649,-32772,4882585,4836584,4798184,4586350,347716,92.87844451,0.9936,0.9928,DKD,abnormal,glomerulus,19.01745839,0.820809975,4002,-7025,disease3_scan | 021 | Geometric Segment,glomerulus,0.220906568,0.0,0.07831569599999999,0.0,8.834866131000002,1.787920058,1.960514416,0.010147337,4.433779166,1.065132033,0.0,1.595156891,0.028269327,2.608639419,0.001688645,0.0,0.0,-11.723584,13.036405,0.17147726,1.8831307,9.192009,disease3_scan | 021 | Geometric Segment,disease3_scan - 021
disease3_scan | 022 | Geometric Segment,disease3,disease3_scan,22,Geometric Segment,DSP-1001250007851-H-B05,19698.456309999998,162,23800,-34566,3882939,3853351,3820903,3648769,295221,92.39697044,0.9948,0.9940000000000001,DKD,abnormal,glomerulus,17.38685082,0.9576116370000001,4288,-7470,disease3_scan | 022 | Geometric Segment,glomerulus,0.43913452700000005,0.0,0.1208583,0.043073532,8.584437815,2.9399419160000004,2.1835500050000003,0.014376989,5.52635733,1.329509059,0.0,1.7346257219999999,0.772083511,1.7860609369999998,0.0,0.0,0.0,-11.639273,12.835938,-0.09796598,1.8731652,8.746963,disease3_scan | 022 | Geometric Segment,disease3_scan - 022
disease3_scan | 023 | Geometric Segment,disease3,disease3_scan,23,Geometric Segment,DSP-1001250007851-H-B06,19074.87601,149,21466,-34989,3276177,3240761,3213371,3067729,289544,91.16213807,0.9931,0.9926,DKD,abnormal,glomerulus,17.44213017,0.9576116370000001,3702,-7576,disease3_scan | 023 | Geometric Segment,glomerulus,0.602476119,0.0,0.213206495,0.0,8.238055527,3.778034905,1.140231264,0.004110303,5.741384413,1.4064953690000002,0.0,1.708877575,0.733665496,2.36347004,0.0,0.009749542,0.0,-9.671837,11.520593,-0.61104447,1.3993536,10.8698225,disease3_scan | 023 | Geometric Segment,disease3_scan - 023
disease3_scan | 024 | Geometric Segment,disease3,disease3_scan,24,Geometric Segment,DSP-1001250007851-H-B07,18329.61363,153,20836,-35367,2780291,2752881,2729823,2602394,246222,91.14402054,0.9936,0.9928,DKD,abnormal,glomerulus,15.06591648,1.149133965,3544,-7671,disease3_scan | 024 | Geometric Segment,glomerulus,0.57056014,0.0,0.251700001,0.0,8.182126256,2.703931002,1.276143668,0.001784813,4.567266699,1.320909521,0.0,1.120465693,1.157468695,1.989507956,0.0,0.0,0.0,-11.387654,12.536735,-0.11265252,1.9545174,9.337066,disease3_scan | 024 | Geometric Segment,disease3_scan - 024
disease3_scan | 025 | Geometric Segment,disease3,disease3_scan,25,Geometric Segment,DSP-1001250007851-H-B08,21006.45795,159,20460,-36591,4218502,4185983,4153266,3966295,281872,93.31819684,0.9945,0.9938,DKD,abnormal,glomerulus,16.33832162,1.013941733,3452,-7976,disease3_scan | 025 | Geometric Segment,glomerulus,0.37943825200000003,0.0,0.083636188,0.0,8.1388861,3.30932208,1.343267549,0.013904836,4.709862987,1.082824417,0.0,1.880646755,0.0,3.09903115,0.0,0.016024899,0.0,-10.97223,12.009754,-0.3529234,1.4582765,9.784537,disease3_scan | 025 | Geometric Segment,disease3_scan - 025
disease3_scan | 026 | Geometric Segment,disease3,disease3_scan,26,Geometric Segment,DSP-1001250007851-H-B09,25569.53586,174,20119,-37041,4400969,4366099,4333565,4088336,313398,92.87888645,0.9944,0.9936,DKD,abnormal,glomerulus,19.96328022,0.907211025,3366,-8083,disease3_scan | 026 | Geometric Segment,glomerulus,0.237706649,0.0,0.064137456,0.0,5.5776640109999995,3.223246141,1.5579991260000001,0.019380221,6.084088974,1.151895941,0.0,1.877013142,0.296127739,1.305073671,0.0,0.25852050600000004,0.0,-12.333472,12.246768,-0.68187815,1.625884,8.583995,disease3_scan | 026 | Geometric Segment,disease3_scan - 026
disease3_scan | 027 | Geometric Segment,disease3,disease3_scan,27,Geometric Segment,DSP-1001250007851-H-B10,25085.551040000002,182,23721,-38130,4253975,4217827,4184410,3970364,315017,92.59476137,0.9941,0.9933,DKD,abnormal,glomerulus,19.06063231,0.907211025,4263,-8357,disease3_scan | 027 | Geometric Segment,glomerulus,0.155700373,0.0,0.229607057,0.0,9.304195283,3.358409126,1.080202669,0.012362948,4.4641895830000005,0.955625883,0.0,1.7946282290000002,0.0,2.8717832210000003,0.0,0.030850379,0.0,-11.233187,11.894315,-0.7095979,1.8085558,9.539015,disease3_scan | 027 | Geometric Segment,disease3_scan - 027
disease3_scan | 028 | Geometric Segment,disease3,disease3_scan,28,Geometric Segment,DSP-1001250007851-H-B11,26709.05462,190,20794,-39244,4432495,4379055,4334663,4135907,339534,92.33988984,0.993,0.9916,DKD,abnormal,glomerulus,19.30707175,0.820809975,3538,-8633,disease3_scan | 028 | Geometric Segment,glomerulus,0.341577216,0.101011456,0.0,0.0,8.367009375,2.015986308,2.4879427250000004,0.007122848,3.7990724019999997,1.156356986,0.0,1.628069778,0.0,1.721660136,0.0,0.0,0.0,-11.516421,12.908948,0.05797288,2.1570852,9.193917,disease3_scan | 028 | Geometric Segment,disease3_scan - 028
disease3_scan | 029 | Geometric Segment,disease3,disease3_scan,29,Geometric Segment,DSP-1001250007851-H-B12,22800.21961,162,24822,-40957,2940990,2916751,2894027,2765355,211391,92.8122503,0.9943,0.9936,DKD,abnormal,glomerulus,15.2508356,1.325923805,4540,-9068,disease3_scan | 029 | Geometric Segment,glomerulus,0.300192014,0.0,0.23394627399999998,0.0,7.930593268000001,2.476479353,1.367658377,0.009499431,4.593696479,0.781496003,0.0,2.4148055619999997,0.315940184,2.0942412409999998,0.0,0.038939306,0.0,-9.780293,11.72835,-0.988512,1.7720404,10.618725,disease3_scan | 029 | Geometric Segment,disease3_scan - 029
disease3_scan | 030 | Geometric Segment,disease3,disease3_scan,30,Geometric Segment,DSP-1001250007851-H-C01,27694.13075,189,26204,-41318,2796433,2773828,2753266,2632365,399098,85.7283189,0.9943,0.9936,DKD,abnormal,glomerulus,20.31354047,0.718208728,4891,-9152,disease3_scan | 030 | Geometric Segment,glomerulus,0.257731757,0.0,0.08446934800000001,0.0,7.912683943999999,1.428482971,0.94584617,0.008442996,5.462947187999999,0.7301257379999999,0.0,1.603385905,0.364166408,3.188409862,0.0,0.0,0.0,-11.079716,10.7589445,-1.07518,0.43124357,9.77319,disease3_scan | 030 | Geometric Segment,disease3_scan - 030
disease3_scan | 031 | Geometric Segment,disease3,disease3_scan,31,Geometric Segment,DSP-1001250007851-H-C02,19642.940880000002,154,28339,-43383,1946817,1931555,1916167,1834373,261420,86.57192741,0.9943,0.9935,DKD,abnormal,glomerulus,15.93832727,1.077313092,5419,-9674,disease3_scan | 031 | Geometric Segment,glomerulus,0.285560511,0.0,0.18721412399999998,0.0,10.205837642,2.289848812,1.573476448,0.012321947,5.6921018420000005,1.397892567,0.0,1.786613335,0.060082690999999994,3.24920952,0.0,0.0,0.0,-8.963294,10.077703,-1.9171757,1.3378701,11.473327,disease3_scan | 031 | Geometric Segment,disease3_scan - 031
disease3_scan | 032 | Geometric Segment,disease3,disease3_scan,32,Geometric Segment,DSP-1001250007851-H-C03,29678.807389999998,193,26277,-44103,2801068,2775979,2753163,2625099,474411,83.06321018,0.9940000000000001,0.9933,DKD,abnormal,glomerulus,22.86807424,0.6156074810000001,4908,-9855,disease3_scan | 032 | Geometric Segment,glomerulus,0.20447264899999998,0.0,0.068173222,0.0,9.514193351,2.133899654,1.3407935899999999,0.0009975280000000001,6.4210452920000005,0.9525511740000001,0.0,2.0411143480000002,0.407163251,3.444476375,0.03575483,0.0,0.0,-10.881056,10.864186,-1.0183846,0.40107265,10.085893,disease3_scan | 032 | Geometric Segment,disease3_scan - 032
disease3_scan | 033 | Geometric Segment,disease3,disease3_scan,33,Geometric Segment,DSP-1001250007851-H-C04,18317.34859,130,29349,-45562,1773282,1757069,1743366,1666863,247088,86.06606281,0.9938,0.9931,DKD,abnormal,glomerulus,11.73815441,1.149133965,5676,-10216,disease3_scan | 033 | Geometric Segment,glomerulus,0.622475279,0.0,0.15688200300000002,0.0,8.520651312,3.6805728889999996,1.361157577,0.021463588999999998,7.722506861,1.264243811,0.0,1.805299675,0.44116125799999995,3.600577715,0.0,0.0,0.0,-9.370324,10.110637,-1.9865,0.9811182,11.296893,disease3_scan | 033 | Geometric Segment,disease3_scan - 033
disease3_scan | 034 | Geometric Segment,disease3,disease3_scan,34,Geometric Segment,DSP-1001250007851-H-C05,16730.80151,130,28612,-46260,1684194,1669504,1652764,1580108,241410,85.66614059999999,0.9945,0.9937,DKD,abnormal,glomerulus,12.45837195,1.149133965,5491,-10393,disease3_scan | 034 | Geometric Segment,glomerulus,0.31474210399999997,0.0,0.249128555,0.0,8.102865296,3.362613671,0.7935844910000001,0.011742384,8.374839223,1.13204948,0.0,2.240301256,0.0,3.4721111419999997,0.0,0.0,0.0,-8.2119255,9.930503,-2.587602,1.7456443,12.209144,disease3_scan | 034 | Geometric Segment,disease3_scan - 034
disease3_scan | 035 | Geometric Segment,disease3,disease3_scan,35,Geometric Segment,DSP-1001250007851-H-C06,20956.10675,155,26457,-45996,1618777,1598333,1583035,1511756,268794,83.39524221,0.9924,0.9911,DKD,abnormal,glomerulus,15.15753741,1.013941733,4951,-10324,disease3_scan | 035 | Geometric Segment,glomerulus,0.47516738299999994,0.0,0.162554637,0.0,10.394859097000001,2.5041331209999997,1.878663358,0.005597774,6.820779272,0.951423685,0.0,1.239434449,0.63415402,3.2423930469999998,0.0,0.0,0.0,-8.383637,9.804786,-2.7743015,1.7166296,11.871449,disease3_scan | 035 | Geometric Segment,disease3_scan - 035
