,slidename,scanname,roilabel,segmentlabel,sample_id,aoisurfacearea,aoinucleicount,roicoordinatex,roicoordinatey,rawreads,trimmedreads,stitchedreads,alignedreads,deduplicatedreads,sequencingsaturation,umiq30,rtsq30,disease_status,pathology,region,loq,normalizationfactor,roireportx,roireporty,idx,region_exact,ct_deconv_b cell,ct_deconv_cd8 t cell,ct_deconv_dc,ct_deconv_distal_tubules_and_collecting_duct,ct_deconv_endothelium,ct_deconv_loop_of_henle,ct_deconv_mnp,ct_deconv_mast cell,ct_deconv_mesangial_cells,ct_deconv_nk cell,ct_deconv_nkt cell,ct_deconv_nephron_epithelium,ct_deconv_neutrophil,ct_deconv_podocytes,ct_deconv_private,ct_deconv_proximal_tubular_cells,ct_deconv_th cell,x_2d_umap,y_2d_umap,x_3d_umap,y_3d_umap,barcode,image_file_name
disease3_scan | 006 | PanCK,disease3,disease3_scan,6,PanCK,DSP-1001250007864-D-H11,25414.44769,211,27423,-57217,2213184,2191539,2172585,2081611,277454,87.46358188,0.9937,0.9929,DKD,,tubule,11.97267199,1.013941733,5192,-13090,159,distal tubule,0.376579013,0,0.090384987,4.622448371,1.749653799,16.71458348,0.734426752,0.091985235,4.488193269,1.697269141,0,2.386433944,0.164691585,0,0,2.354180256,0,-0.43072137,3.106382,6.421462,6.989945,disease3_scan | 006 | PanCK,disease3_scan - 006 - PanCK
disease3_scan | 006 | neg,disease3,disease3_scan,6,neg,DSP-1001250007864-D-H12,102140.6459,612,27423,-57217,3337838,3309630,3282938,3093639,404631,87.87745241,0.994,0.9933,DKD,,tubule,19.1291427,0.689480379,5192,-13090,160,proximal tubule,0.39544398,0,0.227266148,0.067709644,2.152468001,9.91260507,0.53564044,0.053660005,3.319320142,0.898319261,0,0.803304338,0,0,0,5.376617086,0,-0.70646995,3.899103,6.3541474,6.428772,disease3_scan | 006 | neg,disease3_scan - 006 - neg
disease3_scan | 007 | Geometric Segment,disease3,disease3_scan,7,Geometric Segment,DSP-1001250007851-H-A02,31797.59253,202,11444,-18819,5521543,5471679,5426943,5182304,519757,90.5867436,0.9939,0.9932,DKD,abnormal,glomerulus,24.24652424,0.556032563,1197,-3538,0,glomerulus,0.135515222,0,0.175370013,0.043389302,9.364507828,3.437010444,1.023351774,0.01936343,6.994867121,1.020357317,0,1.217709096,0,1.687067015,0,0,0,-12.258279,11.756247,-0.80002373,1.1715722,disease3_scan | 007 | Geometric Segment,disease3_scan - 007
disease3_scan | 008 | Geometric Segment,disease3,disease3_scan,8,Geometric Segment,DSP-1001250007851-H-A03,16920.10267,102,13064,-20021,3688649,3661664,3634011,3470622,342783,90.70708544,0.9948,0.9942,DKD,abnormal,glomerulus,19.33864297,0.820809975,1606,-3834,1,glomerulus,0.372140155,0,0.096706634,0,7.070046498,2.550982827,1.710345188,0.006733918,6.712015152,1.263500685,0,1.663471125,0.165869037,4.02839539,0,0,0,-10.475239,10.275832,-1.6388522,0.41121447,disease3_scan | 008 | Geometric Segment,disease3_scan - 008
disease3_scan | 009 | Geometric Segment,disease3,disease3_scan,9,Geometric Segment,DSP-1001250007851-H-A04,14312.32987,98,14221,-18591,2470587,2452568,2432975,2325816,299883,87.8618725,0.9949,0.9943,DKD,abnormal,glomerulus,17.01753289,0.957611637,1892,-3474,2,glomerulus,0.386017921,0,0.149839233,0,10.55078008,2.499945547,1.658520203,0.013083442,7.229614275,1.023429259,0,1.988343078,0.216795808,3.155019893,0,0,0,-9.689978,10.107175,-2.060957,0.8245174,disease3_scan | 009 | Geometric Segment,disease3_scan - 009
disease3_scan | 010 | Geometric Segment,disease3,disease3_scan,10,Geometric Segment,DSP-1001250007851-H-A05,20032.83995,143,12120,-17683,3703066,3654886,3618022,3459194,392537,89.39967584,0.9925,0.9909,DKD,abnormal,glomerulus,22.33501177,0.718208728,1366,-3245,3,glomerulus,0.430380608,0,0.217532387,0,9.825347391,3.592916257,1.540566532,0.007173367,6.929793043,1.070342778,0,1.366730042,0.16073818,3.06097219,0,0,0,-10.204253,10.625536,-1.3084933,0.78936297,disease3_scan | 010 | Geometric Segment,disease3_scan - 010
disease3_scan | 011 | Geometric Segment,disease3,disease3_scan,11,Geometric Segment,DSP-1001250007851-H-A06,27583.26127,195,12816,-16378,5916477,5856159,5802764,5548026,594119,89.95823021,0.9934,0.9923,DKD,abnormal,glomerulus,24.7038376,0.492485985,1542,-2925,4,glomerulus,0.291573611,0,0.122538956,0,10.90675669,3.466427345,1.982874618,0.020733427,6.372360328,1.115738243,0,1.801608001,0,2.341710814,0,0,0,-11.68708,11.279985,-0.8108705,0.74159706,disease3_scan | 011 | Geometric Segment,disease3_scan - 011
disease3_scan | 012 | Geometric Segment,disease3,disease3_scan,12,Geometric Segment,DSP-1001250007851-H-A07,18164.84254,97,13075,-14941,2723251,2701322,2681044,2561699,257262,90.55312933,0.9944,0.9937,DKD,abnormal,glomerulus,16.31377625,1.077313092,1607,-2565,5,glomerulus,0.449764109,0,0.109753397,0,6.563444743,3.522085825,0.80346881,0.010600094,9.374576657,1.026782899,0,1.89854563,0,2.148198109,0,0,0,-9.974523,11.178908,-1.2120727,1.4667182,disease3_scan | 012 | Geometric Segment,disease3_scan - 012
disease3_scan | 013 | Geometric Segment,disease3,disease3_scan,13,Geometric Segment,DSP-1001250007851-H-A08,25827.58578,183,13207,-13878,6274410,6227843,6175954,5907459,536785,91.44485298,0.995,0.9943,DKD,abnormal,glomerulus,23.51923359,0.538656546,1640,-2301,6,glomerulus,0.410216755,0,0.129088094,0,10.47622435,3.268164723,1.719939348,0.005368862,6.794602886,1.082664818,0,1.748890204,0.12395069,2.285266674,0,0.038888149,0,-12.148298,11.68402,-0.6441731,0.9719986,disease3_scan | 013 | Geometric Segment,disease3_scan - 013
disease3_scan | 014 | Geometric Segment,disease3,disease3_scan,14,Geometric Segment,DSP-1001250007851-H-A09,12021.51145,86,15449,-18484,2873507,2850166,2827703,2701890,281428,90.20611399,0.9944,0.9936,DKD,abnormal,glomerulus,15.17743038,1.013941733,2200,-3451,7,glomerulus,0.392818402,0,0.068334983,0,7.786684162,3.43219903,1.268153243,0.012900964,7.091234371,0.768825019,0,1.415959097,0.211451903,5.512347479,0,0,0,-8.561211,9.386131,-2.6180062,1.1202948,disease3_scan | 014 | Geometric Segment,disease3_scan - 014
disease3_scan | 015 | Geometric Segment,disease3,disease3_scan,15,Geometric Segment,DSP-1001250007851-H-A10,22156.9507,147,17046,-20601,4311045,4274528,4240919,4047813,411528,90.45410104,0.9941,0.9933,DKD,abnormal,glomerulus,20.56740657,0.689480379,2598,-3976,8,glomerulus,0.418153629,0,0.080479102,0,7.952623174,2.079357543,1.204740703,0.003267667,7.140190595,0.718436655,0,1.916272429,0.188074308,4.454234424,0.007157259,0,0,-10.007277,9.851923,-1.8370363,0.5295741,disease3_scan | 015 | Geometric Segment,disease3_scan - 015
disease3_scan | 016 | Geometric Segment,disease3,disease3_scan,16,Geometric Segment,DSP-1001250007851-H-A11,26042.70807,195,17029,-22040,4771232,4723805,4681130,4464995,512650,89.25539567,0.9937,0.9929,DKD,abnormal,glomerulus,25.12354217,0.556032563,2596,-4337,9,glomerulus,0.289183103,0,0.158866682,0,9.208075686,2.269846572,1.790834065,0.000307577,6.214886314,1.051865646,0,1.820618376,0,1.655233546,0,0.052576278,0,-12.108437,12.02654,-1.0373595,1.1790738,disease3_scan | 016 | Geometric Segment,disease3_scan - 016
disease3_scan | 017 | Geometric Segment,disease3,disease3_scan,17,Geometric Segment,DSP-1001250007851-H-A12,14519.38306,82,12753,-23855,2891046,2864976,2843198,2718347,281743,90.25463448,0.9939,0.9932,DKD,abnormal,glomerulus,16.11728525,1.013941733,1523,-4795,10,glomerulus,0.373532291,0,0.095222129,0,8.596133435,2.365447306,2.132399917,0.023493595,6.977435891,1.112183921,0,1.056742005,0,3.030538011,0,0,0,-10.904389,10.477192,-1.3512928,0.20241417,disease3_scan | 017 | Geometric Segment,disease3_scan - 017
disease3_scan | 018 | Geometric Segment,disease3,disease3_scan,18,Geometric Segment,DSP-1001250007851-H-B01,24344.16183,164,17524,-30115,4452245,4417956,4383805,4176468,305363,93.14137025,0.9945,0.9937,DKD,abnormal,glomerulus,18.23379485,0.907211025,2716,-6353,11,glomerulus,0.249230703,0,0.112984559,0,7.80077171,3.017030308,1.073490782,0.001978775,4.894805012,0.994103636,0,2.046402083,0.549151272,1.382679632,0,0.166637017,0,-11.972182,11.859749,-0.8998365,1.5339513,disease3_scan | 018 | Geometric Segment,disease3_scan - 018
disease3_scan | 019 | Geometric Segment,disease3,disease3_scan,19,Geometric Segment,DSP-1001250007851-H-B02,19077.45812,141,18095,-31530,3653435,3621399,3591115,3431728,281849,92.2853698,0.9942,0.9935,DKD,abnormal,glomerulus,15.28009236,1.013941733,2861,-6712,12,glomerulus,0.304500926,0,0.236770691,0,8.18388295,3.598398377,2.034795487,0.0202179,5.343370632,1.097490726,0,1.663998065,0,2.409470803,0,0,0,-10.855444,11.423889,-0.5779014,0.85080093,disease3_scan | 019 | Geometric Segment,disease3_scan - 019
disease3_scan | 020 | Geometric Segment,disease3,disease3_scan,20,Geometric Segment,DSP-1001250007851-H-B03,21760.91911,156,20972,-31310,3197194,3175551,3151313,3006682,257942,91.93223808,0.9948,0.9942,DKD,abnormal,glomerulus,16.33310735,1.077313092,3580,-6654,13,glomerulus,0.562064696,0,0.10535294,0.016172636,8.442482835,1.895943614,1.013662485,0.00905363,5.326884532,1.31970141,0,2.173550741,0.543622363,2.703995086,0,0,0,-10.061062,11.976407,-0.5953975,1.3175609,disease3_scan | 020 | Geometric Segment,disease3_scan - 020
disease3_scan | 021 | Geometric Segment,disease3,disease3_scan,21,Geometric Segment,DSP-1001250007851-H-B04,20961.10959,147,22649,-32772,4882585,4836584,4798184,4586350,347716,92.87844451,0.9936,0.9928,DKD,abnormal,glomerulus,19.01745839,0.820809975,4002,-7025,14,glomerulus,0.220906568,0,0.078315696,0,8.834866131,1.787920058,1.960514416,0.010147337,4.433779166,1.065132033,0,1.595156891,0.028269327,2.608639419,0.001688645,0,0,-11.723584,13.036405,0.17147726,1.8831307,disease3_scan | 021 | Geometric Segment,disease3_scan - 021
disease3_scan | 022 | Geometric Segment,disease3,disease3_scan,22,Geometric Segment,DSP-1001250007851-H-B05,19698.45631,162,23800,-34566,3882939,3853351,3820903,3648769,295221,92.39697044,0.9948,0.994,DKD,abnormal,glomerulus,17.38685082,0.957611637,4288,-7470,15,glomerulus,0.439134527,0,0.1208583,0.043073532,8.584437815,2.939941916,2.183550005,0.014376989,5.52635733,1.329509059,0,1.734625722,0.772083511,1.786060937,0,0,0,-11.639273,12.835938,-0.09796598,1.8731652,disease3_scan | 022 | Geometric Segment,disease3_scan - 022
disease3_scan | 023 | Geometric Segment,disease3,disease3_scan,23,Geometric Segment,DSP-1001250007851-H-B06,19074.87601,149,21466,-34989,3276177,3240761,3213371,3067729,289544,91.16213807,0.9931,0.9926,DKD,abnormal,glomerulus,17.44213017,0.957611637,3702,-7576,16,glomerulus,0.602476119,0,0.213206495,0,8.238055527,3.778034905,1.140231264,0.004110303,5.741384413,1.406495369,0,1.708877575,0.733665496,2.36347004,0,0.009749542,0,-9.671837,11.520593,-0.61104447,1.3993536,disease3_scan | 023 | Geometric Segment,disease3_scan - 023
disease3_scan | 024 | Geometric Segment,disease3,disease3_scan,24,Geometric Segment,DSP-1001250007851-H-B07,18329.61363,153,20836,-35367,2780291,2752881,2729823,2602394,246222,91.14402054,0.9936,0.9928,DKD,abnormal,glomerulus,15.06591648,1.149133965,3544,-7671,17,glomerulus,0.57056014,0,0.251700001,0,8.182126256,2.703931002,1.276143668,0.001784813,4.567266699,1.320909521,0,1.120465693,1.157468695,1.989507956,0,0,0,-11.387654,12.536735,-0.11265252,1.9545174,disease3_scan | 024 | Geometric Segment,disease3_scan - 024
disease3_scan | 025 | Geometric Segment,disease3,disease3_scan,25,Geometric Segment,DSP-1001250007851-H-B08,21006.45795,159,20460,-36591,4218502,4185983,4153266,3966295,281872,93.31819684,0.9945,0.9938,DKD,abnormal,glomerulus,16.33832162,1.013941733,3452,-7976,18,glomerulus,0.379438252,0,0.083636188,0,8.1388861,3.30932208,1.343267549,0.013904836,4.709862987,1.082824417,0,1.880646755,0,3.09903115,0,0.016024899,0,-10.97223,12.009754,-0.3529234,1.4582765,disease3_scan | 025 | Geometric Segment,disease3_scan - 025
disease3_scan | 026 | Geometric Segment,disease3,disease3_scan,26,Geometric Segment,DSP-1001250007851-H-B09,25569.53586,174,20119,-37041,4400969,4366099,4333565,4088336,313398,92.87888645,0.9944,0.9936,DKD,abnormal,glomerulus,19.96328022,0.907211025,3366,-8083,19,glomerulus,0.237706649,0,0.064137456,0,5.577664011,3.223246141,1.557999126,0.019380221,6.084088974,1.151895941,0,1.877013142,0.296127739,1.305073671,0,0.258520506,0,-12.333472,12.246768,-0.68187815,1.625884,disease3_scan | 026 | Geometric Segment,disease3_scan - 026
disease3_scan | 027 | Geometric Segment,disease3,disease3_scan,27,Geometric Segment,DSP-1001250007851-H-B10,25085.55104,182,23721,-38130,4253975,4217827,4184410,3970364,315017,92.59476137,0.9941,0.9933,DKD,abnormal,glomerulus,19.06063231,0.907211025,4263,-8357,20,glomerulus,0.155700373,0,0.229607057,0,9.304195283,3.358409126,1.080202669,0.012362948,4.464189583,0.955625883,0,1.794628229,0,2.871783221,0,0.030850379,0,-11.233187,11.894315,-0.7095979,1.8085558,disease3_scan | 027 | Geometric Segment,disease3_scan - 027
disease3_scan | 028 | Geometric Segment,disease3,disease3_scan,28,Geometric Segment,DSP-1001250007851-H-B11,26709.05462,190,20794,-39244,4432495,4379055,4334663,4135907,339534,92.33988984,0.993,0.9916,DKD,abnormal,glomerulus,19.30707175,0.820809975,3538,-8633,21,glomerulus,0.341577216,0.101011456,0,0,8.367009375,2.015986308,2.487942725,0.007122848,3.799072402,1.156356986,0,1.628069778,0,1.721660136,0,0,0,-11.516421,12.908948,0.05797288,2.1570852,disease3_scan | 028 | Geometric Segment,disease3_scan - 028
disease3_scan | 029 | Geometric Segment,disease3,disease3_scan,29,Geometric Segment,DSP-1001250007851-H-B12,22800.21961,162,24822,-40957,2940990,2916751,2894027,2765355,211391,92.8122503,0.9943,0.9936,DKD,abnormal,glomerulus,15.2508356,1.325923805,4540,-9068,22,glomerulus,0.300192014,0,0.233946274,0,7.930593268,2.476479353,1.367658377,0.009499431,4.593696479,0.781496003,0,2.414805562,0.315940184,2.094241241,0,0.038939306,0,-9.780293,11.72835,-0.988512,1.7720404,disease3_scan | 029 | Geometric Segment,disease3_scan - 029
disease3_scan | 030 | Geometric Segment,disease3,disease3_scan,30,Geometric Segment,DSP-1001250007851-H-C01,27694.13075,189,26204,-41318,2796433,2773828,2753266,2632365,399098,85.7283189,0.9943,0.9936,DKD,abnormal,glomerulus,20.31354047,0.718208728,4891,-9152,23,glomerulus,0.257731757,0,0.084469348,0,7.912683944,1.428482971,0.94584617,0.008442996,5.462947188,0.730125738,0,1.603385905,0.364166408,3.188409862,0,0,0,-11.079716,10.7589445,-1.07518,0.43124357,disease3_scan | 030 | Geometric Segment,disease3_scan - 030
disease3_scan | 031 | Geometric Segment,disease3,disease3_scan,31,Geometric Segment,DSP-1001250007851-H-C02,19642.94088,154,28339,-43383,1946817,1931555,1916167,1834373,261420,86.57192741,0.9943,0.9935,DKD,abnormal,glomerulus,15.93832727,1.077313092,5419,-9674,24,glomerulus,0.285560511,0,0.187214124,0,10.20583764,2.289848812,1.573476448,0.012321947,5.692101842,1.397892567,0,1.786613335,0.060082691,3.24920952,0,0,0,-8.963294,10.077703,-1.9171757,1.3378701,disease3_scan | 031 | Geometric Segment,disease3_scan - 031
disease3_scan | 032 | Geometric Segment,disease3,disease3_scan,32,Geometric Segment,DSP-1001250007851-H-C03,29678.80739,193,26277,-44103,2801068,2775979,2753163,2625099,474411,83.06321018,0.994,0.9933,DKD,abnormal,glomerulus,22.86807424,0.615607481,4908,-9855,25,glomerulus,0.204472649,0,0.068173222,0,9.514193351,2.133899654,1.34079359,0.000997528,6.421045292,0.952551174,0,2.041114348,0.407163251,3.444476375,0.03575483,0,0,-10.881056,10.864186,-1.0183846,0.40107265,disease3_scan | 032 | Geometric Segment,disease3_scan - 032
disease3_scan | 033 | Geometric Segment,disease3,disease3_scan,33,Geometric Segment,DSP-1001250007851-H-C04,18317.34859,130,29349,-45562,1773282,1757069,1743366,1666863,247088,86.06606281,0.9938,0.9931,DKD,abnormal,glomerulus,11.73815441,1.149133965,5676,-10216,26,glomerulus,0.622475279,0,0.156882003,0,8.520651312,3.680572889,1.361157577,0.021463589,7.722506861,1.264243811,0,1.805299675,0.441161258,3.600577715,0,0,0,-9.370324,10.110637,-1.9865,0.9811182,disease3_scan | 033 | Geometric Segment,disease3_scan - 033
disease3_scan | 034 | Geometric Segment,disease3,disease3_scan,34,Geometric Segment,DSP-1001250007851-H-C05,16730.80151,130,28612,-46260,1684194,1669504,1652764,1580108,241410,85.6661406,0.9945,0.9937,DKD,abnormal,glomerulus,12.45837195,1.149133965,5491,-10393,27,glomerulus,0.314742104,0,0.249128555,0,8.102865296,3.362613671,0.793584491,0.011742384,8.374839223,1.13204948,0,2.240301256,0,3.472111142,0,0,0,-8.2119255,9.930503,-2.587602,1.7456443,disease3_scan | 034 | Geometric Segment,disease3_scan - 034
disease3_scan | 035 | Geometric Segment,disease3,disease3_scan,35,Geometric Segment,DSP-1001250007851-H-C06,20956.10675,155,26457,-45996,1618777,1598333,1583035,1511756,268794,83.39524221,0.9924,0.9911,DKD,abnormal,glomerulus,15.15753741,1.013941733,4951,-10324,28,glomerulus,0.475167383,0,0.162554637,0,10.3948591,2.504133121,1.878663358,0.005597774,6.820779272,0.951423685,0,1.239434449,0.63415402,3.242393047,0,0,0,-8.383637,9.804786,-2.7743015,1.7166296,disease3_scan | 035 | Geometric Segment,disease3_scan - 035
disease3_scan | 036 | Geometric Segment,disease3,disease3_scan,36,Geometric Segment,DSP-1001250007851-H-C07,17982.80357,122,26588,-46798,1462293,1447082,1434666,1262945,235818,83.87340977,0.9931,0.9922,DKD,abnormal,glomerulus,12.53595571,1.231214962,4984,-10530,29,glomerulus,0.412024559,0,0.284850574,0,8.752049721,4.040471869,2.384292817,0.0134092,7.02482822,1.211190605,0,1.481993486,0.084200519,3.967743888,0,0.066263328,0,-9.079313,10.055345,-2.4400628,1.3235728,disease3_scan | 036 | Geometric Segment,disease3_scan - 036
disease3_scan | 037 | Geometric Segment,disease3,disease3_scan,37,Geometric Segment,DSP-1001250007851-H-C08,27578.41981,173,26666,-48056,1994845,1979784,1964017,1856885,297237,85.09974459,0.9946,0.9939,DKD,abnormal,glomerulus,15.60882438,0.957611637,5001,-10842,30,glomerulus,0.640794766,0,0.148275038,0.06523021,8.481316883,3.671291852,1.485481083,0.020767454,5.870691794,1.353364595,0,1.964739623,0,3.250598252,0,0.064061225,0,-10.030429,12.058215,-0.56202936,1.6077801,disease3_scan | 037 | Geometric Segment,disease3_scan - 037
disease3_scan | 038 | Geometric Segment,disease3,disease3_scan,38,Geometric Segment,DSP-1001250007851-H-C09,22428.87948,130,27506,-53817,1195802,1186754,1177368,1120898,182537,84.73518191,0.9944,0.9937,DKD,abnormal,glomerulus,9.524892727,1.436417456,5214,-12282,31,glomerulus,0.461365447,0,0.367155602,0,8.687302581,4.800217412,1.955374452,0.017452894,7.454064129,1.573583956,0,2.316132232,0.30639475,2.920232522,0,0.738236207,0,-8.052171,10.968333,-2.7051337,2.467966,disease3_scan | 038 | Geometric Segment,disease3_scan - 038
disease3_scan | 039 | Geometric Segment,disease3,disease3_scan,39,Geometric Segment,DSP-1001250007851-H-C10,22709.36151,152,25013,-54272,1157923,1149574,1140216,1088847,150692,86.98600857,0.995,0.9943,DKD,abnormal,glomerulus,9.409716006,1.723700947,4588,-12396,32,glomerulus,0.078407333,0,0.119825669,0.075109449,8.239637006,3.543065004,1.712687172,0.017743663,5.73733969,1.334700702,0,1.337438283,0,1.329823179,0,0.548568826,0,-7.882941,11.325342,-2.6219845,2.6882215,disease3_scan | 039 | Geometric Segment,disease3_scan - 039
disease3_scan | 040 | Geometric Segment,disease3,disease3_scan,40,Geometric Segment,DSP-1001250007851-H-C11,33264.39413,236,26261,-54657,1518657,1504897,1492944,1429655,232560,84.68646969,0.9939,0.9932,DKD,abnormal,glomerulus,12.97052056,1.231214962,4905,-12493,33,glomerulus,0.389137563,0,0.241416076,0,8.875120959,5.039521931,1.264078477,0.024775183,7.632316451,1.37870187,0,1.720272275,0,1.096807986,0,0.905253421,0,-11.924418,12.617024,-0.41620216,2.1564815,disease3_scan | 040 | Geometric Segment,disease3_scan - 040
disease3_scan | 041 | Geometric Segment,disease3,disease3_scan,41,Geometric Segment,DSP-1001250007851-H-C12,21286.7786,135,27403,-55508,783415,775715,769511,735930,128166,83.64008859,0.9936,0.9929,DKD,abnormal,glomerulus,5.593230046,2.154626183,5189,-12707,34,glomerulus,0.508756197,0,0.290998918,0.109694193,8.564379008,5.150565057,1.048184737,0.028117601,7.811971946,2.003129257,0,1.634145308,1.046476517,2.373739603,0.186718161,0.359072003,0,-8.465897,11.37346,-2.1931915,2.467909,disease3_scan | 041 | Geometric Segment,disease3_scan - 041
